705,685,393,339,748
493,365,712,325,149
345,99,179,881,636
693,663,702,840,883
987,303,539,100,493
806,137,771,779,125
593,711,386,523,150
179,522,348,52,963
867,106,120,912,349
433,568,547,705,21
710,745,415,390,157
53,621,435,733,471
878,179,928,697,327
575,410,40,452,870
294,560,699,206,77
610,90,839,688,22
170,474,119,263,687
498,37,166,870,83
578,387,858,417,856
735,947,167,831,173
784,593,897,145,839
607,859,18,175,589
321,109,727,352,633
844,649,94,635,697
732,975,744,455,524
531,557,823,48,736
848,173,974,469,160
195,707,933,499,630
214,73,454,484,988
154,646,687,661,464
37,776,970,237,557
45,457,180,236,923
147,569,618,386,34
733,223,364,170,372
761,225,656,431,274
581,804,659,372,878
769,473,82,216,742
97,225,125,14,409
421,414,847,892,456
29,205,96,636,256
787,589,291,248,119
101,236,46,391,862
799,65,844,752,72
161,182,363,800,468
691,641,661,857,649
963,428,496,141,709
641,979,62,949,536
574,770,679,753,779
573,526,623,69,119
722,995,242,212,424
311,445,177,193,769
909,804,873,243,570
712,130,825,275,121
695,779,821,295,700
38,928,408,903,373
235,313,571,285,496
845,96,384,148,44
871,350,206,400,984
64,992,395,290,169
812,68,936,396,229
608,219,709,142,39
510,577,286,377,472
46,876,646,334,244
951,761,225,451,129
266,558,355,369,908
680,72,972,915,624
207,60,296,576,514
558,589,893,492,121
463,395,236,999,801
44,676,239,451,544
586,433,185,277,348
834,394,4,551,614
810,889,117,589,941
496,444,491,458,101
820,219,233,645,666
96,744,719,213,747
504,818,382,286,641
430,510,459,379,646
6,700,509,401,582
896,208,203,238,198
577,213,77,77,423
60,488,715,134,181
522,817,600,255,718
596,532,160,679,621
695,510,929,706,200
869,998,841,210,697
519,856,769,403,151
937,538,321,168,419
226,126,824,507,294
428,30,388,713,768
616,826,114,882,60
443,183,345,599,866
28,740,888,436,286
494,623,24,125,940
763,117,345,890,548
508,391,991,159,304
493,798,519,986,995
214,12,968,721,886
293,997,775,456,857
615,548,339,562,713
770,429,855,888,867
666,84,651,613,684
510,195,167,492,170
844,305,212,880,48
635,704,678,307,749
681,467,96,55,835
133,753,109,378,809
441,63,81,200,16
311,568,926,196,621
639,173,351,877,552
288,222,407,37,792
519,832,804,239,876
880,751,801,903,334
468,178,121,773,885
961,627,307,940,266
666,574,583,622,535
128,181,531,577,3
57,538,814,631,640
645,367,212,574,126
17,364,603,516,563
995,230,230,377,168
836,591,978,706,869
751,549,582,648,790
122,463,766,191,907
517,305,102,392,208
759,238,280,966,901
200,978,450,455,107
124,977,620,298,101
523,672,722,656,187
449,250,992,556,7
860,284,121,441,988
152,759,836,321,435
770,963,989,476,332
779,189,250,864,630
689,699,288,314,514
207,528,636,175,144
811,575,291,272,635
228,140,857,636,341
975,591,402,416,576
859,169,380,120,888
778,88,628,552,833
610,110,385,193,385
264,928,948,213,646
400,700,635,656,563
644,881,167,473,229
106,115,869,981,212
674,687,726,579,748
89,134,215,203,825
372,597,145,952,84
984,84,965,515,973
769,878,119,946,503
369,480,635,719,875
372,208,57,469,465
947,77,195,930,910
877,199,601,43,199
365,320,787,142,568
557,630,303,421,634
333,451,846,149,584
681,98,227,872,878
87,203,620,747,818
738,80,840,931,443
209,787,158,54,345
648,132,913,482,865
851,959,136,924,394
805,493,836,46,800
995,570,320,730,787
74,665,912,608,763
910,638,716,357,485
364,773,80,711,156
538,845,536,585,525
296,89,483,6,857
493,448,630,110,112
170,626,952,899,684
299,931,232,74,615
461,352,553,301,766
775,643,785,866,718
386,157,836,317,96
551,646,59,78,851
791,556,984,942,244
857,616,268,96,484
315,455,568,192,298
847,222,612,973,174
967,713,909,743,25
427,921,671,687,377
35,360,297,361,936
718,759,376,311,154
663,80,215,159,376
436,120,627,561,599
406,760,346,636,45
978,642,566,963,749
694,708,882,768,927
635,242,76,802,672
822,622,592,584,755
946,458,634,930,696
969,216,450,537,33
645,608,635,770,623
490,263,677,89,771
940,314,342,366,445
252,634,589,619,864
183,7,755,901,616
829,332,191,28,773
162,530,456,439,762
323,920,287,926,539
402,408,19,659,691
864,617,612,825,902
433,596,882,338,528
83,312,661,100,260
409,455,957,622,867
503,778,449,509,196
376,382,567,711,423
983,234,314,885,798
480,272,678,673,29
612,360,465,817,912
164,31,339,910,77
527,46,752,953,684
461,830,150,664,413
637,229,983,734,373
483,911,897,91,60
75,45,27,924,604
301,295,421,634,172
918,409,620,515,376
117,259,461,751,444
222,359,452,523,660
28,583,269,18,26
454,188,688,578,134
500,340,723,347,383
842,25,271,52,215
494,805,927,218,730
763,683,551,848,771
220,190,442,7,273
1,120,960,632,761
863,477,858,931,740
173,710,549,473,990
292,546,696,598,631
382,961,907,484,920
457,345,876,562,770
581,296,50,542,213
175,992,138,306,654
428,461,671,367,225
982,820,813,568,408
8,84,364,326,983
530,211,415,328,207
656,352,541,993,693
458,513,718,222,747
254,56,820,732,404
487,967,331,745,388
902,635,599,314,780
928,745,755,74,293
530,246,744,357,891
534,784,110,209,264
333,453,867,101,990
